"","realistic_accurate","licensed_content_video_games","fast","multiplayer","battle","team_group_crew_squad","singleplayer","tournament_competition","strategy_tactics","compete","race","online","move_special_move","shoot","explore","attack","fight","action","combat","story"
"605252",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605747",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"609390",1,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"618273",0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"627574",0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"632139",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"632402",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"633248",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"634475",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"637335",0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"955428",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"996445",1,1,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0
"997443",0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"997600",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
