"","city","battle","mystery","action","weapon","enemy","story","licensed_content_video_games","war","epic","attack","dangerous","destroy_devastate_wreck","the_earth","human_race_mankind","team_group_crew_squad","rescue","puzzle","hero","horde_wave_mass","magic","fight"
"604987",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"605365",0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"935684",0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"939441",0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0
"943655",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"944059",1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0
"944907",0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
"960338",1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"960449",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"991034",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
