"","strategy_tactics","defend","battle","fight","solve","mission","defeat","rescue","discover_reveal","combat","move_special_move","adventure","destroy_devastate_wreck"
"605506",1,0,0,0,0,0,0,0,0,0,0,0,0
"619503",0,1,1,1,1,0,0,0,0,0,0,0,0
"621185",0,0,0,0,0,1,0,0,0,0,0,0,0
"625894",0,0,0,1,0,0,1,0,0,0,0,0,0
"628015",0,0,0,0,0,0,1,0,0,0,0,0,0
"631928",0,0,0,0,0,0,1,1,1,0,0,0,0
"642666",0,0,1,1,0,0,0,0,1,0,0,0,0
"942657",0,0,0,0,0,0,0,0,0,1,0,0,0
"952598",0,0,0,0,0,0,0,0,0,0,1,0,0
"960491",0,0,0,0,0,0,0,1,0,0,0,0,0
"975303",0,0,1,0,0,0,0,1,0,0,0,1,0
"991468",0,0,0,1,0,0,0,1,0,0,0,0,0
"995751",1,0,0,0,0,0,0,0,0,1,0,0,0
"996823",0,0,0,1,0,0,0,0,0,0,0,0,0
"996959",0,0,1,1,0,0,0,0,0,0,0,0,0
"997619",0,0,1,0,0,0,0,1,0,0,0,0,0
"998016",0,0,0,1,0,0,0,0,0,0,0,0,1
