"","rescue","attack","combat","battle","fight","adventure","mission","defeat","move_special_move","strategy_tactics","defend","shoot","discover_reveal","destroy_devastate_wreck"
"605052",1,1,1,1,1,0,0,0,0,0,0,0,0,0
"611501",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"628029",0,1,0,0,0,1,0,0,0,0,0,0,0,0
"630363",0,0,0,0,0,0,1,1,0,0,0,0,0,0
"632699",0,0,1,0,0,0,0,0,1,1,0,0,0,0
"659949",0,0,0,0,0,0,1,0,0,0,1,1,0,0
"666150",0,1,0,1,1,0,0,0,0,0,0,1,0,0
"667067",0,0,1,1,0,0,0,0,0,0,0,0,0,0
"671623",0,0,0,0,1,0,0,0,0,0,0,0,1,1
"672902",1,0,0,0,1,0,0,0,0,0,0,0,0,0
"677382",1,1,0,0,0,0,0,0,0,0,0,0,0,1
"678923",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"682514",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"682522",0,0,0,0,0,0,1,0,0,0,1,0,0,1
"682608",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"686147",0,0,0,0,1,0,0,0,0,1,0,0,0,0
"695400",0,1,0,1,0,0,0,0,0,0,1,1,0,0
"710754",1,0,0,0,0,0,1,0,0,0,0,0,0,0
"718283",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"937326",0,0,1,0,0,0,0,0,0,0,0,0,0,0
