"","adventure","destroy_devastate_wreck","shoot","rescue","defeat","evil","enemy","puzzle","race","discover_reveal","dangerous","mystery","solve","epic","story","explore","attack","city","fight","licensed_content_video_games","level_stage"
"611875",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"954432",0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0
"960584",0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0
"972792",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0
"982129",0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0
"990836",0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"991005",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"997173",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"997761",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"997764",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
