"","fight","rescue","combat","shoot","battle","defeat","destroy_devastate_wreck","mission","solve","attack","collect_gather","defend","strategy_tactics","discover_reveal","adventure","explore"
"926055",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928189",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"928234",0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"928324",0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"928399",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"928433",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"928655",0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
"930858",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"932211",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"932516",0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"932952",1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"933057",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"933058",1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"933872",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
"934754",1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"935829",1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
"935869",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
"936127",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
