"","compete","race","fast","defend","battle","fight","defeat","destroy_devastate_wreck","mission","rescue","collect_gather","shoot"
"944703",1,0,0,0,0,0,0,0,0,0,0,0
"958272",1,0,0,0,0,0,0,0,0,0,0,0
"959893",0,1,1,1,0,0,0,0,0,0,0,0
"960422",1,0,1,0,1,0,0,0,0,0,0,0
"960619",0,1,0,0,0,0,0,0,0,0,0,0
"971450",1,0,1,0,0,0,0,0,0,0,0,0
"979301",1,1,0,0,0,1,0,0,0,0,0,0
"984916",1,1,0,0,0,1,1,1,1,0,0,0
"989950",1,0,0,0,0,0,0,0,0,0,0,0
"991782",0,0,0,0,0,0,0,0,0,1,0,0
"991786",0,1,0,0,0,0,0,0,0,0,0,0
"995429",0,1,0,0,0,0,0,0,0,0,0,0
"997577",0,1,1,0,0,0,0,0,0,0,1,0
"997709",1,1,1,0,0,0,0,0,0,0,0,0
"997715",1,1,0,0,0,0,0,0,0,0,1,1
