"","mystery","evil","puzzle","team_group_crew_squad","licensed_content_video_games","level_stage","city","enemy","action","weapon","magic","fight","hero","licensed_content_cultural_products","army","human_race_mankind"
"935846",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"938583",0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"941981",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"943284",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"943855",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"944602",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
"945044",1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0
"946578",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"950926",1,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0
"950953",0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1
"951686",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
